Year,Platform,top_selling_game,Total Sales,Critic_Score,User_Score
2013,PS4,Call of Duty: Ghosts,4170000,7.5,3.8
2013,XOne,Call of Duty: Ghosts,2920000,7.5,4.3
2014,XOne,Grand Theft Auto V,5480000,9,9
2014,PS4,Grand Theft Auto V,19390000,9.7,8.4
2015,PS4,Call of Duty: Black Ops 3,15090000,8.1,4.9
2015,XOne,Halo 5: Guardians,4480000,8.6,6.4
2016,XOne,FIFA 17,2650000,8.8,5.1
2016,PS4,FIFA 17,10940000,8.9,4.8
2017,XOne,Cuphead,3000000,,
2017,PS4,Call of Duty: WWII,13400000,8,4.3
2018,XOne,Past Cure,,3.4,6.9
2018,XOne,Agony,,3.4,4.5
2018,XOne,Tennis World Tour,,4.2,1.9
2018,XOne,Nickelodeon Kart Racers,,4.9,6.3
2018,XOne,Fallout 76,,5.1,2.4
2018,XOne,Extinction,,5.2,1.1
2018,XOne,Dakar 18,,5.4,7.1
2018,XOne,Dynasty Warriors 9,,5.6,4.1
2018,XOne,Earthfall,,5.6,5.5
2018,XOne,Assassin's Creed Rogue Remastered,,6,6.8
2018,XOne,Naruto to Boruto: Shinobi Striker,,6,5.8
2018,XOne,Metal Gear Survive,,6.2,2
2018,XOne,NBA 2K Playgrounds 2,,6.2,6.3
2018,XOne,Super Bomberman R,,6.3,6.7
2018,XOne,Override: Mech City Brawl,,6.4,6.5
2018,XOne,Conan Exiles,,6.4,5.7
2018,XOne,We Happy Few,,6.4,5.3
2018,XOne,Call of Cthulhu,,6.6,5.9
2018,XOne,Titan Quest,,6.6,6.9
2018,XOne,V-Rally 4,,6.7,8
2018,XOne,Rad Rodgers,,6.7,7.8
2018,XOne,Gravel,,6.7,7
2018,XOne,Kingdom Come: Deliverance,,6.8,7.5
2018,XOne,Warriors Orochi 4,,6.8,7.3
2018,XOne,NASCAR Heat 3,,6.8,8.3
2018,XOne,The Crew 2,,6.9,5
2018,XOne,Sea of Thieves,,6.9,7
2018,XOne,Darksiders III,,6.9,7.3
2018,XOne,State of Decay 2,,7,5.4
2018,XOne,Attack on Titan 2,,7,7
2018,XOne,Vampyr,,7,6.9
2018,XOne,Just Cause 4,,7,6.1
2018,XOne,Bendy and the Ink Machine,,7,8.2
2018,XOne,"Warhammer 40,000: Inquisitor - Martyr",,7.1,3.9
2018,XOne,Devil May Cry HD Collection,,7.1,6.9
2018,XOne,LEGO DC Super-Villains,,7.2,7
2018,XOne,Sword Art Online: Fatal Bullet,,7.2,7.2
2018,XOne,Far Cry 5,,7.2,6.7
2018,XOne,Pure Farming 2018,,7.3,7
2018,XOne,Red Faction: Guerrilla Re-Mars-tered,,7.3,4.4
2018,XOne,Sega Genesis Classics,,7.3,7.3
2018,XOne,LEGO The Incredibles,,7.4,6.9
2018,XOne,Shenmue I & II,,7.4,8.2
2018,XOne,MXGP Pro,,7.5,6.9
2018,XOne,The Long Dark,,7.5,7.9
2018,XOne,NBA Live 19,,7.5,6.9
2018,XOne,Strange Brigade,,7.5,5.9
2018,XOne,Tempest 4000,,7.5,6.8
2018,XOne,Jurassic World Evolution,,7.6,6.2
2018,XOne,Surviving Mars,,7.6,6.5
2018,XOne,WWE 2K19,,7.7,4.6
2018,XOne,No Man's Sky,,7.7,7.7
2018,XOne,Mothergunship,,7.7,7.6
2018,XOne,Railway Empire,,7.7,8.3
2018,XOne,EA Sports UFC 3,,7.7,5.5
2018,XOne,Mega Man 11,,7.7,8.2
2018,XOne,Just Dance 2019,,7.7,4.7
2018,XOne,Bridge Constructor Portal,,7.8,5.4
2018,XOne,Starlink: Battle for Atlas,,7.8,6.7
2018,XOne,Battlefield V,,7.8,2.6
2018,XOne,Crash Bandicoot N. Sane Trilogy,,7.9,6.9
2018,XOne,Burnout Paradise Remastered,,8,6.7
2018,XOne,A Way Out,,8.1,7.5
2018,XOne,Subnautica,,8.1,8.3
2018,XOne,World of Final Fantasy Maxima,,8.1,8.1
2018,XOne,Madden NFL 19,,8.1,3.3
2018,XOne,Shadow of the Tomb Raider,,8.2,7.2
2018,XOne,NHL 19,,8.2,6.7
2018,XOne,Pro Evolution Soccer 2019,,8.2,6.8
2018,XOne,Overcooked! 2,,8.3,6.2
2018,XOne,Spyro Reignited Trilogy,,8.3,6.8
2018,XOne,FIFA 19,,8.3,2
2018,XOne,NBA 2K19,,8.3,2.8
2018,XOne,Hitman 2,,8.4,7
2018,XOne,F1 2018,,8.4,8
2018,XOne,SoulCalibur VI,,8.4,4.7
2018,XOne,Destiny 2: Forsaken,,8.6,5.4
2018,XOne,Dragon Ball FighterZ,,8.6,7.9
2018,XOne,Assassin's Creed Odyssey,,8.7,5.6
2018,XOne,Hellblade: Senua's Sacrifice,,8.8,7.3
2018,XOne,Yoku's Island Express,,9,7.8
2018,XOne,Forza Horizon 4,,9.2,7.9
2018,XOne,Monster Hunter: World,,9.4,7.2
2018,XOne,Red Dead Redemption 2,10000000,9.7,7.4
2018,PS4,Red Dead Redemption 2,13940000,9.8,7.9
2019,PS4,God Eater 3,190000,7.1,7.2
2020,PS4,The Last of Us: Part II,10300000,9.3,5.7
